"maxclustersize","ntips","nhybrids","Network","level","treechild","name"
6,63,12,"simulated",12,FALSE,"sim_1251"
4,30,8,"simulated",8,TRUE,"sim_1253"
27,164,69,"simulated",69,FALSE,"sim_1254"
16,137,49,"simulated",49,FALSE,"sim_1255"
17,154,48,"simulated",48,FALSE,"sim_1256"
6,70,10,"simulated",10,FALSE,"sim_1258"
3,8,2,"simulated",2,FALSE,"sim_1259"
7,59,14,"simulated",14,FALSE,"sim_1261"
9,76,19,"simulated",19,FALSE,"sim_1262"
175,610,473,"simulated",473,FALSE,"sim_1263"
110,432,290,"simulated",290,FALSE,"sim_1265"
11,79,24,"simulated",24,FALSE,"sim_1266"
4,27,4,"simulated",4,TRUE,"sim_1267"
11,101,27,"simulated",27,FALSE,"sim_1268"
49,274,125,"simulated",125,FALSE,"sim_1269"
6,64,12,"simulated",12,FALSE,"sim_1271"
3,9,1,"simulated",1,TRUE,"sim_1272"
3,20,1,"simulated",1,TRUE,"sim_1273"
4,20,6,"simulated",6,FALSE,"sim_1274"
4,39,7,"simulated",5,FALSE,"sim_1276"
4,41,6,"simulated",6,FALSE,"sim_1277"
3,22,2,"simulated",1,TRUE,"sim_1278"
3,17,3,"simulated",3,TRUE,"sim_1279"
4,33,6,"simulated",4,TRUE,"sim_1280"
3,22,1,"simulated",1,TRUE,"sim_1281"
12,104,28,"simulated",27,FALSE,"sim_1282"
7,72,12,"simulated",12,TRUE,"sim_1283"
3,34,2,"simulated",2,TRUE,"sim_1284"
746,1797,1835,"simulated",1835,FALSE,"sim_1286"
4,38,4,"simulated",4,TRUE,"sim_1288"
5,49,8,"simulated",8,TRUE,"sim_1289"
4,26,5,"simulated",5,TRUE,"sim_1290"
3,15,1,"simulated",1,TRUE,"sim_1292"
7,72,20,"simulated",20,TRUE,"sim_1293"
3,14,1,"simulated",1,TRUE,"sim_1294"
4,44,9,"simulated",9,TRUE,"sim_1295"
592,1850,1531,"simulated",1531,TRUE,"sim_1296"
3,47,3,"simulated",2,TRUE,"sim_1298"
191,713,511,"simulated",511,TRUE,"sim_1299"
13,126,36,"simulated",36,TRUE,"sim_1300"
7,45,13,"simulated",13,FALSE,"sim_1301"
11,67,26,"simulated",26,FALSE,"sim_1302"
3,6,1,"simulated",1,TRUE,"sim_1303"
4,13,3,"simulated",3,FALSE,"sim_1304"
4,48,5,"simulated",5,FALSE,"sim_1305"
4,38,3,"simulated",3,TRUE,"sim_1306"
3,25,1,"simulated",1,TRUE,"sim_1307"
3,11,1,"simulated",1,TRUE,"sim_1308"
4,21,5,"simulated",4,FALSE,"sim_1310"
